	Time (Minutes)	Hot Plate Flux	Temp at Node 1 [C]	Temp at Node 2 [C]	Temp at Node 3 [C]	Temp at Node 4 [C]	Temp at Node 5 [C]	Temp at Node 6 [C]	Temp at Node 7 [C]	Temp at Node 8 [C]	Temp at Node 9 [C]	Temp at Node 10 [C]	Temp at Node 11 [C]	Temp at Node 12 [C]	Temp at Node 13 [C]	Temp at Node 14 [C]	Temp at Node 15 [C]	Temp at Node 16 [C]	Temp at Node 17 [C]	Temp at Node 18 [C]	Temp at Node 19 [C]	Temp at Node 20 [C]	Temp at Node 21 [C]
0.0 [s]	0.0	0.0	33.69999999999999	33.69999999999999	33.69999999999999	33.69999999999999	33.69999999999999	33.69999999999999	33.69999999999999	33.69999999999999	33.69999999999999	33.69999999999999	33.69999999999999	33.69999999999999	33.69999999999999	33.69999999999999	33.69999999999999	33.69999999999999	33.69999999999999	33.69999999999999	33.69999999999999	33.69999999999999	33.69999999999999
1.0 [s]	0.016666666666666666	68.57931026972973	35.51965183917599	35.11234995227676	34.85870265483197	34.434111137622665	34.3352953688609	34.00670781974338	34.00286742428415	33.81734620550486	33.80321372827177	33.782121026214554	33.67675706898831	33.82106475001319	33.59845549216402	33.878842705312934	33.57256062491507	33.92458936520592	33.61476737584718	33.94942525356595	33.734892423345116	33.96418084123326	33.92563258622022
2.0 [s]	0.03333333333333333	22.96813811304371	34.88183485311623	34.80113167273532	34.663992969311494	34.627568229746714	34.410230281897384	34.46198520356853	34.12806031113939	34.33378297125557	33.85893692588411	34.260480729579626	33.644968479071906	34.23292427203097	33.51691861382187	34.22453139836102	33.49236810939652	34.20841260943865	33.575251525518354	34.17097471120326	33.754836585788325	34.11738249373241	34.00623281682198
3.0 [s]	0.05	26.886121054548305	35.047445490000996	34.92297641745597	34.78999983327344	34.681145143143226	34.55526568218886	34.47047336947867	34.357165995712364	34.29786434453473	34.19948158814043	34.16485957964977	34.08388957617825	34.07240262820187	34.01187467146951	34.02109737015394	33.983902939962775	34.01034580891678	33.99860991280758	34.03809631847696	34.05287667222626	34.101314344850266	34.14250373876854
4.0 [s]	0.06666666666666667	20.073962171491285	35.001790037663	34.89170068793271	34.83485538662541	34.692999908367085	34.67241661707101	34.50702202457546	34.52196420128877	34.34468638351376	34.39189892547472	34.2155955261515	34.28865547929422	34.12613438557912	34.21602239445724	34.07932174241358	34.175637627147694	34.0753787441779	34.16773487106366	34.112383913175165	34.19171215469191	34.18682233087986	34.246441460283165
5.0 [s]	0.08333333333333333	17.777198615350656	35.00576555623604	34.93690260677607	34.826529591894996	34.78819870739011	34.657039073113026	34.649545034717846	34.505801376773775	34.526520110402885	34.37959529488677	34.42369132323819	34.28374730500087	34.34480719152998	34.222022818693404	34.29269544453598	34.19642952430263	34.26914298913897	34.20715556862666	34.27488367653973	34.2526935228052	34.309677661575336	34.330092176672736
6.0 [s]	0.1	15.131527408533206	35.00684992958031	34.926532956455674	34.87699912965758	34.77941732681353	34.75191628681699	34.642729135744844	34.63687186292765	34.52306149303439	34.536816146917204	34.426062780426776	34.455968006097635	34.35604676937555	34.3976174158783	34.31582362800185	34.3640635519796	34.30667203685687	34.35661392532029	34.3283965688928	34.37560531552816	34.37944230310205	34.42043174888869
7.0 [s]	0.11666666666666667	13.105473956425161	35.00205893920452	34.95126945723666	34.87035585620674	34.841398142504715	34.74503823949527	34.73787267988922	34.63206415521387	34.64486804284036	34.53666910009014	34.56612997502589	34.463150040719086	34.50486042080837	34.414673912296394	34.463600553067636	34.393143904179226	34.44413611498908	34.39914413853546	34.44743519906342	34.43196365155279	34.47361571413251	34.48968743685765
8.0 [s]	0.13333333333333333	11.35957896766848	35.00329234307293	34.9520005120209	34.89657502282415	34.84994690809674	34.79445766139679	34.75433105634221	34.70147953727809	34.669289167724	34.62175699798905	34.59848754779375	34.55877871383069	34.54495605535135	34.5152499413465	34.510964552531334	34.49298568995698	34.49793961946148	34.49285012143599	34.50641880471335	34.51473951695243	34.536040268837496	34.557605686679096
9.0 [s]	0.15	9.851554881360613	35.001081275572346	34.9638867762597	34.90111269498874	34.882179989372275	34.80594803035547	34.80494935850464	34.72008158691125	34.73524226006634	34.64751531153149	34.67585328711863	34.591562435265985	34.629224415639214	34.55468977898266	34.59735194079326	34.53840877077846	34.581704620221785	34.5432209233644	34.583156244295765	34.56861861155562	34.60193488589374	34.61313786568121
10.0 [s]	0.16666666666666666	8.591502515918336	35.00496977267784	34.95634551279693	34.93424839759291	34.86998050353367	34.86589251736257	34.789936050284496	34.802524953884415	34.72000385348497	34.74662273138085	34.66344375663249	34.70043155149142	34.62282110918977	34.665884128798496	34.59988618907471	34.64452392340297	34.595501052859504	34.63743623074055	34.60961611747797	34.645189224407375	34.6412957270266	34.66778808725877
11.0 [s]	0.18333333333333332	7.435506730772876	35.00052326377829	34.97351542785441	34.92399261447349	34.91283474693796	34.85119008347954	34.85534811520489	34.785579576715975	34.80327331105394	34.73024546271023	34.75866772243171	34.687737377752114	34.72335684149647	34.659946346504285	34.698864952254496	34.64801892723574	34.68635022563734	34.65231343968287	34.68654683396659	34.67239947566554	34.699717055674114	34.707099129280664
12.0 [s]	0.2	6.481630648722858	35.00261781693075	34.97043770300718	34.94468620095188	34.90948188118756	34.88903733263993	34.85260813307008	34.83800208497854	34.80235568800089	34.79372799576839	34.76095515099303	34.7580915902351	34.730226989981134	34.732620796076105	34.71150043333887	34.71843042814112	34.70555641307237	34.716173298512444	34.712596880294655	34.72600901928979	34.73224143659036	34.74759200186941
13.0 [s]	0.21666666666666667	5.620174959131204	35.000513083783346	34.979615345945945	34.943159154588386	34.93329714150735	34.888566226499165	34.88946174002416	34.83931146942314	34.8498177597823	34.79769511469107	34.81594490814797	34.76562597196698	34.789237758002514	34.74452935338826	34.7708518681215	34.73528223713612	34.761653998215536	34.73817873630867	34.762178520643204	34.75292702125785	34.772592406354136	34.77867692009056
